Ind	Lon	Lat
Bsyl_198	24.5	36.7
Bsyl_199	22.4	36.5
Bsyl_200	26.3	39.2
Bsyl_201	23.9	35.4
Bsyl_202	26	37.6
Bsyl_203	24.5	37.2
Bsyl_204	24.1	37.9
Bsyl_205	26.4	36.5
Bsyl_206	25	37.6
Bsyl_207	26.6	37.7
Bsyl_208	25.5	37.1
Bsyl_209	26.2	41.4
Bsyl_210	21.9	38
Bsyl_211	20.8	39.4
Bsyl_212	26.1	35.2
Bsyl_213	20.8	38.2
Bsyl_214	15.4	56.4
Bsyl_215	24.7	38
Bsyl_216	14.6	50
Bsyl_217	6.6	53.2
Bsyl_218	10.1	47.5
Bsyl_219	10.2	48
Bsyl_220	10	49.9
Bsyl_221	10.4	48.6
Bsyl_222	11.2	49.6
Bsyl_223	11.2	47.4
Bsyl_224	4.4	47.2
Bsyl_225	1.9	45.9
Bsyl_226	-4.7	48.6
Bsyl_227	2.4	45.4
Bsyl_228	3.6	45
Bsyl_229	2.3	43.4
Bsyl_230	-3.9	56.8
Bsyl_231	-3.5	57.3
Bsyl_232	-4.4	58.6
Bsyl_233	0.7	45
Bsyl_234	1.3	49.8
Bsyl_235	1.9	48.4
Bsyl_236	2.8	45.8
Bsyl_237	9.6	46.3
Bsyl_238	0.6	41.5
Bsyl_239	0.9	41.9
Bsyl_240	3.2	42.3
Bsyl_241	1.2	41.5
Bsyl_242	2.9	41.7
Bsyl_243	0.3	40.7
Bsyl_244	0.6	42.6
Bsyl_245	2.4	42
Bsyl_246	1.6	42
Bsyl_247	1.4	42.5
Bsyl_248	2.2	41.4
Bsyl_249	-5.2	51.7
Bsyl_250	-4.2	51.6
Bsyl_251	1.5	47.4
Bsyl_252	2.9	46.9
Bsyl_253	4.3	47.9
Bsyl_254	0.8	47.7
Bsyl_255	4.6	49.7
Bsyl_256	4.1	46.2
Bsyl_257	9.9	55.9
Bsyl_258	9.9	55.4
Bsyl_259	9.9	54.9
Bsyl_260	15.2	55.1
Bsyl_261	11.8	55.3
Bsyl_262	12.2	55.9
Bsyl_263	-5.1	35.1
Bsyl_264	-1.6	40.5
Bsyl_265	8.6	59.9
Bsyl_266	-9	53
Bsyl_267	-5.7	54.7
Bsyl_268	-10.1	51.8
Bsyl_269	-9.4	53.6
Bsyl_270	-6.4	52.4
Bsyl_271	4.6	49
Bsyl_272	2.8	47.6
Bsyl_273	3.6	47.9
Bsyl_274	24.3	59.4
Bsyl_275	26.8	58.4
Bsyl_276	21.9	58.5
Bsyl_277	25.4	58.9
Bsyl_278	22.1	58
Bsyl_279	36.2	34.4
Bsyl_280	14.3	57.8
Bsyl_281	18.8	57.9
Bsyl_282	14	56.8
Bsyl_283	12.8	48.4
Bsyl_284	10.3	50.5
Bsyl_285	21.4	57
Bsyl_286	34.5	50.7
Bsyl_287	4.1	43.6
Bsyl_288	9.2	41.4
Bsyl_289	4.6	44.1
Bsyl_290	-0.1	43.4
Bsyl_291	11.6	64.1
Bsyl_292	34.6	57.5
Bsyl_293	40	52.3
Bsyl_294	33.7	44.5
Bsyl_295	41.4	56.7
Bsyl_296	42.4	54.8
Bsyl_297	42.1	51.4
Bsyl_298	57.2	53.8
Bsyl_299	35.1	45
Bsyl_300	37.4	54.8
Bsyl_301	2.2	47.1
Bsyl_302	5	47.4
Bsyl_303	3.8	48.6
Bsyl_304	-2	51.8
Bsyl_305	-3.6	48.8
Bsyl_306	83.3	54.5
Bsyl_307	88.5	53.6
Bsyl_308	91.2	53
Bsyl_309	94.9	54.8
Bsyl_310	88.8	53
Bsyl_311	88.7	52.3
Bsyl_312	13.1	56
Bsyl_313	-2.8	38
Bsyl_314	4.9	51
Bsyl_315	36.2	51.7
Bsyl_316	-3.5	58.6
Bsyl_317	-2.9	57.7
Bsyl_318	1.4	46.6
Bsyl_319	7.8	47
Bsyl_320	0	45.1
Bsyl_321	-0.5	44.7
Bsyl_322	-1	45.1
Bsyl_323	-0.5	45.7
Bsyl_324	-2.7	56.3
Bsyl_325	16.9	58.3
Bsyl_326	-1.9	53.1
Bsyl_327	-0.7	48.1
Bsyl_328	1	47
Bsyl_329	4.1	44.6
Bsyl_330	2.9	51.2
Bsyl_331	4	51.1
Bsyl_332	6.1	59.4
Bsyl_333	3	49
Bsyl_334	1.1	48.3
Bsyl_335	2.1	47.9
Bsyl_336	5.2	46.8
Bsyl_337	6.8	44.3
Bsyl_338	4.8	43.4
Bsyl_339	-7.3	41.3
Bsyl_340	8.8	42.5
Bsyl_341	0.1	43.9
Bsyl_342	-0.6	46.3
Bsyl_343	-0.1	49.3
Bsyl_344	6.6	46.4
Bsyl_345	-2	47.4
Bsyl_346	2.1	49.8
Bsyl_347	2.6	44.9
Bsyl_348	-2.9	48.6
Bsyl_349	-0.5	48.8
Bsyl_350	-1.2	44.6
Bsyl_351	12.1	58.6
Bsyl_352	18.5	60.3
Bsyl_353	9.9	63.9
Bsyl_354	20.4	60
Bsyl_355	19.8	60.4
Bsyl_356	-3.6	53.3
Bsyl_357	9.8	47
Bsyl_358	-2.5	41.9
Bsyl_359	12	57.5
Bsyl_360	-2.2	53.9
Bsyl_361	2.9	50.2
Bsyl_362	23.7	59
Bsyl_363	-1.4	52.6
Bsyl_364	6	46.7
Bsyl_365	3.7	45.8
Bsyl_366	18.5	59.2
Bsyl_367	18.1	57.5
Bsyl_368	-3.8	55.4
Bsyl_369	-5.5	57.7
Bsyl_370	-7.5	56.9
Bsyl_371	-1.9	57.4
Bsyl_372	-4.5	56.3
Bsyl_373	5.2	52.1
Bsyl_374	4.1	51.9
Bsyl_375	-1.6	46.4
Bsyl_376	-1.8	49.6
Bsyl_377	-2.8	52.9
Bsyl_378	5.8	48.4
Bsyl_379	5.4	49.1
Bsyl_380	6.1	49.1
Bsyl_381	6.9	49.1
Bsyl_382	6.5	47
Bsyl_383	3.3	44.5
Bsyl_384	8.8	39.3
Bsyl_385	9.5	40.2
Bsyl_386	8.8	40.3
Bsyl_387	9.3	40.8
Bsyl_388	8.7	39.8
Bsyl_389	8.3	41.1
Bsyl_390	17.4	52.1
Bsyl_391	30.5	50.4
Bsyl_392	14.9	50.9
Bsyl_393	10.8	52.2
Bsyl_394	12.5	53.7
Bsyl_395	8.2	51.9
Bsyl_396	8.6	49.4
Bsyl_397	13.3	53.7
Bsyl_398	7.4	50.2
Bsyl_399	9.9	52.8
Bsyl_400	9.3	49.4
Bsyl_401	14.4	52
Bsyl_402	11	54.3
Bsyl_403	8	51.3
Bsyl_404	8.7	53.2
Bsyl_405	12.8	51.8
Bsyl_406	12.2	51.3
Bsyl_407	8.2	50.1
Bsyl_408	7.5	49.6
Bsyl_409	8.7	48.9
Bsyl_410	14	53.9
Bsyl_411	7.1	52.3
Bsyl_412	9.2	51.7
Bsyl_413	6.4	50.3
Bsyl_414	14.9	51.5
Bsyl_415	13.3	54.5
Bsyl_416	11.5	51.9
Bsyl_417	10	52
Bsyl_418	11.4	51.2
Bsyl_419	9.1	52.8
Bsyl_420	-1.6	55.5
Bsyl_421	15.9	47.7
Bsyl_422	32.3	53.1
Bsyl_423	-1.8	41.5
Bsyl_424	13.3	42.3
Bsyl_425	-0.6	40
Bsyl_426	-7.2	42.3
Bsyl_427	-1.3	41.2
Bsyl_428	22.5	38
Bsyl_429	-0.9	40.8
Bsyl_430	32.7	41.3
Bsyl_431	0	40.1
Bsyl_432	9.4	39.7
Bsyl_433	3.7	46.7
Bsyl_434	8.1	45.2
Bsyl_435	24.5	53.4
Bsyl_436	-1.2	39.8
Bsyl_437	-1.1	39.3
Bsyl_438	4.5	50.3
Bsyl_439	5.3	50.2
Bsyl_440	5.5	49.7
Bsyl_441	4.8	53
Bsyl_442	18.6	49.7
Bsyl_443	14.5	50.5
Bsyl_444	-6	43.6
Bsyl_445	6.4	47.7
Bsyl_446	-3.2	47.3
Bsyl_447	10.6	51.1
Bsyl_448	12.3	50.7
Bsyl_449	14.1	53.2
Bsyl_450	13.1	51.2
Bsyl_451	7.9	53.6
Bsyl_452	14.1	52.7
Bsyl_453	8.8	53.7
Bsyl_454	11.4	53.4
Bsyl_455	12.6	54.3
Bsyl_456	13.3	53
Bsyl_457	3.2	46.4
Bsyl_458	5.9	47.4
Bsyl_459	-6.2	54.1
