Ind	Lon	Lat
Bsyl_874	13.1	55.5
Bsyl_875	14.4	56.4
Bsyl_876	10.9	60
Bsyl_877	9.6	59.8
Bsyl_878	8.3	58.3
Bsyl_879	7.1	58.1
Bsyl_880	6.8	59.1
Bsyl_881	6.6	59.9
Bsyl_882	7.2	60.4
Bsyl_883	6.3	60.5
Bsyl_884	5.4	60.4
Bsyl_885	7.6	61.4
Bsyl_886	5.6	61
Bsyl_887	5.7	61.6
Bsyl_888	8.8	62.6
Bsyl_889	8.5	63.1
Bsyl_890	9	63.6
Bsyl_891	39.8	54.7
Bsyl_892	32.8	35
Bsyl_893	30	37
Bsyl_894	31.4	41.3
Bsyl_895	41.4	41.4
Bsyl_896	9.6	36.1
Bsyl_897	4	36.9
Bsyl_898	8	36.3
Bsyl_899	-5.9	35.8
Bsyl_900	-8	31.2
Bsyl_901	-5.4	35.5
Bsyl_902	-13.9	28.5
Bsyl_903	51.8	36.1
Bsyl_904	44.4	36.4
Bsyl_905	22.9	58.4
Bsyl_906	27.6	59.2
Bsyl_907	21.1	56.3
Bsyl_908	22.6	56.8
Bsyl_909	23.1	57.2
Bsyl_910	24.7	57.4
Bsyl_911	26.1	56.9
Bsyl_912	25.8	53.6
Bsyl_913	41.5	54.6
Bsyl_914	36.2	54.5
Bsyl_915	35.3	54.3
Bsyl_916	42.2	54.3
Bsyl_917	39.1	54.5
Bsyl_918	40.6	54
Bsyl_919	37.3	56.7
Bsyl_920	36.9	56.2
Bsyl_921	39	55.2
Bsyl_922	35.7	56
Bsyl_923	36.4	55.7
Bsyl_924	38.5	55.9
Bsyl_925	38.4	52.6
Bsyl_926	37	50.7
Bsyl_927	44.7	54.9
Bsyl_928	43.9	55.1
Bsyl_929	45.2	54.2
Bsyl_930	58.4	55.6
Bsyl_931	42	45.1
Bsyl_932	42	44
Bsyl_933	41.8	43.5
Bsyl_934	44.3	43.2
Bsyl_935	45.7	43
Bsyl_936	47.2	42.8
Bsyl_937	39.1	59.5
Bsyl_938	23.5	49.1
Bsyl_939	12.4	52.3
Bbrev_1	90.7046	29.1926
Bbrev_2	70.7384	29.7585
Bbrev_3	109.6	31.4
Bbrev_4	102.7	25
Bbrev_5	109.6	31.4
Bbrev_6	94.4	29.6
Bbrev_7	101.5	27.4
Bbrev_8	109.6	31.4
Bbrev_9	102.7	25
Bbrev_10	102.8	30.4
Bbrev_11	102.7	25
Bbrev_12	109.6	31.4
Bbrev_13	102.8	28
Bbrev_14	109.6	31.4
Bbrev_15	103.5	23.3
Bbrev_16	98.3	31.5
Bbrev_17	102.1	31.5
Bbrev_18	110.7	31.8
Bbrev_19	102.1	31.5
Bbrev_20	108.5	29.3
Bbrev_21	101.6	34.7
Bbrev_22	103.1	28.3
Bbrev_23	102.8	27.7
Bbrev_24	101.6	24.7
Bbrev_25	102.1	31.5
Bbrev_26	110.7	31.8
Bbrev_27	101.7	32.9
Bbrev_28	69.6	31.2
Bbrev_29	80.9	44.1
Bbrev_30	101.3	27.9
Bbrev_31	103.2	31.4
Bbrev_32	94.2	29.2
Bbrev_33	96.6	31.2
Bbrev_34	98.3	30.9
Bbrev_35	102.8	30.4
Bbrev_36	103	25.4
Bbrev_37	103.5	29.6
Bbrev_38	101.9	30.9
Bbrev_39	103	25.4
Bbrev_40	101.7	26.1
Bbrev_41	98.6	31.8
Bbrev_42	107.9	32.5
Bbrev_43	100.7	31.4
Bbrev_44	100.3	32.3
Bbrev_45	108	35.8
Bbrev_46	99.3	27.2
Bbrev_47	102	30.1
Bbrev_48	98.6	31.8
Bbrev_49	109.6	31.4
Bbrev_50	98.8	31.2
Bbrev_51	99.3	27.2
Bbrev_52	106.9	28.2
Bbrev_53	102	30.1
Bbrev_54	103.5	29.6
Bbrev_55	101.1	32.1
Bbrev_56	103	32.1
Bbrev_57	106.5	33.9
Bbrev_58	98.5	28
Bbrev_59	98.9	28.5
Bbrev_60	74.6	36.3
Bbrev_61	74.3	35.9
Bbrev_62	70	34.3
Bbrev_63	101.3	36.9
Bbrev_64	71.8	35.9
Bbrev_65	94.1	29.7
Bbrev_66	83.9	28.1
Bbrev_67	91.1	29.7
Bbrev_68	101.1	32
Bbrev_69	77.2	32.3
Bbrev_70	69.6	35.1
Bbrev_71	94.9	29.6
Bbrev_72	93.9	29
Bbrev_73	73.1	34.6
Bbrev_74	93.2	28.9
Bbrev_75	69.4	34.5
Bbrev_76	72.6	35.3
Bbrev_77	100.1	25.8
Bbrev_78	70.7	34.9
Bbrev_79	99.8	28.3
Bbrev_80	106.2	35.7
Bbrev_81	78.3	30.4
Bbrev_82	75	34.1
Bbrev_83	78.4	31
Bbrev_84	100.2	27
Bbrev_85	96.3	29.8
Bbrev_86	101.9	30.9
Bbrev_87	97.5	28.7
Bbrev_88	105.6	33.3
Bbrev_89	102	30.1
Bbrev_90	103.6	32.6
Bbrev_91	101.5	27.4
Bbrev_92	93.2	29.9
Bbrev_93	98.6	31.8
Bbrev_94	102.5	30.9
Bbrev_95	111	29.7
Bbrev_96	100.7	31.4
Bbrev_97	100	31.6
Bbrev_98	109.6	31.4
Bbrev_99	101.3	27.9
Bbrev_100	105.8	24.9
Bbrev_101	108	35.8
Bbrev_102	102.2	27.9
Bbrev_103	108.6	31.8
Bbrev_104	104.1	35.8
Bbrev_105	101.3	25.7
Bbrev_106	110.8	31.3
Bbrev_107	104.9	34.7
Bbrev_108	106.2	33.3
Bbrev_109	98.8	31.2
Bbrev_110	102.8	30.1
Bbrev_111	100.3	30.9
Bbrev_112	104.2	33.3
Bbrev_113	82.2	43.5
Bbrev_114	106.1	33.8
Bbrev_115	102.7	25
Bbrev_116	97.2	31.2
Bbrev_117	113.4	32.4
Bbrev_118	112	34
Bbrev_119	101.6	36.5
Bbrev_120	105.7	27.2
Bbrev_121	110.2	29.4
Bbrev_122	88.9	27.5
Bbrev_123	103.1	37
Bbrev_124	83.6	28.7
Bbrev_125	103.9	36.5
Bbrev_126	74.4	34
Bbrev_127	89.9	27.4
Bbrev_128	103.1	28.3
Bbrev_129	101.5	29
Bbrev_130	102.5	32.8
Bbrev_131	103.9	31.7
Bbrev_132	98.1	33
Bbrev_133	100.3	32.3
Bbrev_134	103.3	27.7
Bbrev_135	102.3	26.7
Bbrev_136	101.1	31
Bbrev_137	103.1	31.2
Bbrev_138	103.5	30.8
Bbrev_139	99.3	27.4
Bbrev_140	66.1	37.9
Bbrev_141	68.9	32.8
Bbrev_142	71.6	35.2
Bbrev_143	69.8	40.5
Bbrev_144	73.7	31.6
Bbrev_145	76.2	30.1
Bbrev_146	77.7	30.3
Bbrev_147	78.3	28.3
Bbrev_148	83	26.8
Bbrev_149	87.6	27
Bbrev_150	91.1	23.4
Bbrev_151	99.3	37
Bbrev_152	102.9	35.9
Bbrev_153	106.1	34.5
Bbrev_154	109.8	30.7
Bbrev_155	68.8	38.7
Bbrev_156	71.9	38.6
Bbrev_157	74.1	40.6
Bbrev_158	70.2	42
Bbrev_159	78.5	42.5
Bbrev_160	107.2	34
Bbrev_161	102.9	35.1
Bbrev_162	100	26.5
Bbrev_163	100.6	25.8
Bbrev_164	99.3	23.2
Bbrev_165	103.4	34.7
Bbrev_166	90.7	27.5
Bbrev_167	91.5	27.3
Bkur_1	147.869	45.224
Bkur_2	147.503	44.999
Bkur_3	146.685	43.78
Bkur_4	145.871	44.177
Bkur_6	145.468	43.783
Bkur_1	146.152	44.296
Bkur_2	147.787	44.991
Bkur_3	145.653	43.927
Bkur_4	146.438	44.39
Bkur_6	147.929	45.402
Bkur_1	145.947	44.173
Bkur_2	146.739	43.801
Bkur_3	147.878	45.076
Bkur_4	142.06	46.805
Bkur_6	145.524	43.854
Bkur_1	146.226	44.387
Bkur_2	142.1	47.8
Bkur_3	147.9	45.2
Bkur_4	142.6	43.4
Bkur_6	142	43
Bkur_1	141.3	43.2
Bkur_2	143.2	42.3
Bkur_3	145	43.2
Bkur_4	141	45.3
Bkur_6	140.4	43.3
Bkur_1	146.1	44.4
Bkur_2	146.7	43.8
Bkur_3	145.7	44
Bmis_1	140.8434	38.2559
Bmis_2	139.3	36.9
Bmis_4	134.1	35.2
Bmis_5	139.9	39.3
Bmis_6	140.6	39.3
Bmis_7	140.9	40.2
Bmis_8	140.2	40.1
Bmis_9	135.8	35.2
Bmis_10	130.8	32.1
Bmis_11	136.8	34.5
Bmis_12	140.7	35.8
Bmis_14	137.5	36.2
Bmis_15	139	34.7
Bmis_16	140.2	35.5
Bmis_17	139.2	36.5
Bmis_18	138.7	36.3
Bmis_19	140.1	36.2
Bmis_20	136.9	36.5
Bmis_21	137.5	35.4
Bmis_22	135.7	33.8
Bmis_23	139.5	37.7
Bmis_24	134.5	34.7
Bmis_25	135.3	34.9
Bmis_26	134.4	35.6
Bmis_27	134.8	34.2
Bmis_28	134.8	35.1
Bmis_29	140.9	40.7
Bmis_30	140.1	37.7
Bmis_31	141	37.8
Bmis_32	140.2	37.1
Bmis_33	139.3	35.6
Bmis_34	139.7	36.8
Bmis_35	131.1	32.8
Bmis_36	133.3	34.8
Bmis_37	140.7	37.4
Bmis_38	139.6	35.2
Bmis_39	131.9	34.7
Bmis_40	138.5	35.2
Bmis_41	138.8	35.8
Bmis_42	133.1	33.8
Bmis_43	138	36.7
Bmis_44	136.4	35.4
Bmis_45	136.1	36.1
Bmis_46	138.2	35.9
Bmis_47	133.5	35.4
Bmis_51	138.6	37
Bmis_52	133	32.7
Bmis_53	133.8	33.8
Bmis_54	133.2	33.2
